;bwnr;bauwerksname;ort;zn;x [m] UTM32;y [m] UTM32;Bez_Sachverhalt;Str_Kl;Str_Nr
11081;4504540-0;Landwehrbach;Rheurdt;2,0;325338,0;5705959,0;*O:;B;510
11082;4504622-1;Unterführung L 478/Unterführung L 478, Überbau Nord;Tönisberg;1,9;325566,0;5699487,0;*O:;A;40
11083;4504622-2;Unterführung L 478/Unterführung L 478, Überbau Süd;Tönisberg;1,8;325566,0;5699487,0;*O:;A;40
11084;4504624-2;AS Kerken (6);Aldekerk-Stenden;2,1;324673,0;5698798,0;*O:;A;40
11085;4504624-3;AS Kerken (6);Aldekerk-Stenden;2,2;324673,0;5698798,0;*O:;A;40
11086;4504626-1;Landwehrbach und Weg;Kerken;1,8;324320,0;5698657,0;*O:;A;40
11087;4504626-2;Landwehrbach und Weg;Kerken;2,0;324328,0;5698654,0;*O:;A;40
11088;4504630-1;AS Kempen (5);Kempen;1,8;320521,0;5698397,0;*O:;A;40
11089;4504630-2;AS Kempen (5);Kempen;1,8;320521,0;5698397,0;*O:;A;40
11090;4504631-1;DB und Weg;Kempen/Aldekerk;1,9;320397,0;5698400,0;*O:;A;40
11091;4504631-2;DB und Weg;Kempen/Aldekerk;2,1;320384,0;5698380,0;*O:;A;40
11092;4504633-1;Schwarze Rahm und Wirtschaftsweg;Wachtendonk;1,7;318726,0;5698017,0;*O:;A;40
11093;4504633-2;Schwarze Rahm und Wirtschaftsweg;Wachtendonk;1,9;318726,0;5698017,0;*O:;A;40
11094;4504635-1;Wirtschaftsweg;Wachtendonk;2,0;317659,0;5697621,0;*O:;A;40
11095;4504635-2;Wirtschaftsweg;Wachtendonk;1,7;317659,0;5697621,0;*O:;A;40
11096;4505501-1;AS Kamp-Lintfort (8);Kamp-Lintfort;2,3;331725,0;5707875,0;*O:;A;57
11097;4505501-2;AS Kamp-Lintfort (8);Kamp-Lintfort;2,0;331725,0;5707875,0;*O:;A;57
11098;4505501-3;AS Kamp-Lintfort (8);Kamp-Lintfort;2,1;331725,0;5707875,0;*O:;A;57
11099;4505501-4;AS Kamp-Lintfort (8);Kamp-Lintfort;2,2;331718,0;5707866,0;*O:;A;57
11100;4505502-1;Haarbeckstraße und Zechenbahn;Kamp-Lintfort;2,3;331710,0;5707215,0;*O:;A;57
11101;4505502-2;Haarbeckstraße und Zechenbahn;Kamp-Lintfort;1,7;331710,0;5707215,0;*O:;A;57
